name,address,zip,mobile,telephone,fax,email
安徽奥祥汽车销售服务有限公司,合肥市蜀山区合肥市长江西路合六路88号,230000,,0551-7109999,0551-7106600,yeyiting570@163.com
安庆中奥汽车销售服务有限公司,安徽省安庆市大桥综合开发区龙眠山路与纬五路交叉口,340070,,0556-5926666,,
安阳朗润汽车销售服务有限公司,安阳市文峰区光明路与长江大道并汇处东50米路北,455000,,0372-6260666,,langrunaudi@163.com
江苏天奥汽车销售服务有限公司,江苏省南京市江宁区东麒路1号,211100,,025-66665666,,aa7580391@faw-vw.com
江苏金澳汽车销售服务有限公司,江苏省扬州市扬子江中路178号,225009,,,7785055,sa32007@part.faw-vw.com
江苏省镇江市天翼汽车销售服务有限公司,江苏省镇江市丁卯桥路215号,212009,,,8883018,aa7580320@part.faw-vw.com
江苏森风怀德汽车有限公司,盐城市经济开发区希望大道南路9号,224007,,0515-88270000-8008,,
江苏华兴深蓝汽车有限公司,南京市雨花区双龙路29号,210012,,,52432855,sa32004@part.faw-vw.com
江阴奔跃汽车有限公司,江苏省江阴市芙蓉大道436号,214400,,510-86228888,510-80669996,SA32018@part.faw-vw.com
宜兴德同汽车有限公司,无锡市宜兴市宜兴市经济开发区赛特大道188号,214111,,0510-81770000,,
昆山国亚达汽车服务有限公司,昆山市经济开发区长江南路与第一大道交汇处,215300,,0512-81867777,0512-50127999,sa32015a@faw-vw.com
河南丰之元汽车销售服务有限公司,郑州市中原西路117号,450007,,,67613088,sa41004@part.faw-vw.com
河南省奥鑫汽车销售有限公司,郑州市郑开大道与京港澳高速交汇处东3公里路南800路西,450000,,0371-60211111,0371-60216655,475874421@QQ.COM
河南得佳汽车销售服务有限公司,郑州市惠济区花园路与开元路交叉口往西300米路南,450000,,0371-66655555,0371-63958333,527416269@qq.com
河南豫海汽车销售有限公司,郑州市民航路与107国道交汇处南100米路西,450008,,,65998038,sa41002@part.faw-vw.com
南京恒岳汽车销售服务有限公司,南京市浦口区浦珠北路42号,210031,,025-83789999,025-58536108,SA32025@faw-vw.com
南京朗驰集团苏奥汽车销售服务有限公司,南京市栖霞大道2号,210028,,,85391656,sa32003@part.faw-vw.com
南通益昌汽车销售服务有限公司,南通市崇川区青年东路259号,226000,,0513-55015980,,
南通银奥汽车销售服务有限公司,南通市经济技术开发区星湖大道1085号,226009,,,85989123,sa32006@part.faw-vw.com
南阳赢嘉汽车销售服务有限公司,南阳市卧龙区北京大道中段,473000,,37768835555,,
洛阳海灵汽车销售服务有限公司,河南省洛阳市洛南新区政和路1号,471000,,,65871218,sa41005@part.faw-vw.com
徐州海达汽车维修集团有限公司,江苏省徐州市复兴北路217号,221007,,,7838980,aa7580321@part.faw-vw.com
徐州沪彭东源汽车销售服务有限公司,徐州市铜山新区北京路南首,,,0519-81180000,,SA32029@part.faw-vw.com
徐州沪彭奥通汽车销售服务有限公司,徐州市轻工路奔腾大道路口（亚东装饰城北200米）,221007,,,82020010,sa32009@part.faw-vw.com
泰州奥正冠通汽车销售服务有限公司,泰州市海陵区国际汽车城纬八路77号,225300,,52387878787,,
蚌埠市奥立汽车销售服务有限公司,蚌埠市怀远县合合徐高速公路蚌埠西出口往东500米,233000,,0552-7211111,,
宿迁市良宇深蓝汽车贸易有限公司,宿迁市宿城区西湖西路680号,223800,,0527-88120000,0527-88122077,yxf87105@163.com
常州上瑞凯迪汽车销售服务有限公司,江苏省常州市溧阳昆仑北路68号,213300,,0519-80980882,,
常州市凯歌汽车销售有限公司,常州市新北区九江路10号,213022,,,5157333,sa32005@part.faw-vw.com
常州新奥汽车销售有限公司,常州市武进汽车城D区18号,,,0519-81180000,,SA32027@part.faw-vw.com
常州瑞达汽车销售服务有限公司,常州市钟楼经济开发区棕榈路汽车城A区5号,213023,,0519-81688307,,
常州奥富迪汽车销售服务有限公司,江苏省金坛市南环二路与金宜路交叉口,213200,,18861208615,0519-82716011,jayouou@sina.com
常熟德臣汽车销售服务有限公司,常熟市青墩塘路188号（汽车市场内）,215500,,,52837773,sa32008@part.faw-vw.com
淮安宝瑞祥泰汽车销售服务有限公司,淮安市清河新区旺旺路66号,,,89006666,,SA32023@part.faw-vw.com
第一汽车(苏州)服务贸易有限公司,苏州市吴中区木渎镇中山东路156号,214177,,0512-66560000,66575108,sa32010@part.faw-vw.com
新乡东新汽车有限责任公司,新乡市红旗区金穗大道东段京珠高速东2000米路北（东安汽车园）,453000,,0373-7928888,,976562949@qq.com
张家港德和汽车有限公司,张家港市省经济开发区东区大道1号,215600,,0512-56962066,,aa7580398part@faw-vw.com
无锡德孚汽车有限公司,江苏省无锡市江海西路1111号,214151,,0510-83230000,,SA32032@part.faw-vw.com
无锡德尔汽车有限公司,江苏省无锡市太湖东大道1888号,,,,88273000,sa32002@part.faw-vw.com
苏州中迪汽车销售服务有限公司,苏州市吴江市吴江经济开发区江陵东路9号,215200,,0512-63635666,0512-63005900,sa32017@part.faw-vw.com
苏州国兴汽车服务有限公司,张凯苏州市吴中区吴东路与兴郭路交汇东100米,215000,18606215672,,0512-66986777,zhangkaifengyun@126.com
苏州奥润汽车销售服务有限公司,田美华苏州市相城区太阳路2988号,,,0512-66180000-1,052-66186336,midgard@163.com
镇江奥达汽车销售服务有限公司,镇江市新区镇江市经十二路666号,212009,,0511-85958806,0511-85958806,sa32011@part.faw-vw.com
马鞍山市康奥汽车销售服务有限公司,安徽马鞍山雨山经济开发区九华西路1517号,,,0555-3330000,,SA34005@part.faw-vw.com
